Codi,Nom,Data,Precipitacio_mm
YR,Vilanova i la Geltrú,2026-06-03,0.0
YS,Cabanes,2026-06-03,0.0
YT,Bonabé (1.691 m),2026-06-03,0.0
YU,Cantonigròs,2026-06-03,0.0
YV,Mataró,2026-06-03,0.1
YX,Batea,2026-06-03,0.0
YY,Viladecans - les Filipines,2026-06-03,0.0
Z1,Bonaigua (2.262 m),2026-06-03,0.0
Z2,Boí (2.537 m),2026-06-03,0.0
Z3,Malniu (2.229 m),2026-06-03,0.0
Z5,Certascan (2.398 m),2026-06-03,0.0
Z6,Sasseuva (2.226 m),2026-06-03,0.0
Z7,Espot (2.519 m),2026-06-03,0.0
Z9,Cadí Nord (2.145 m) - Prat d'Aguiló,2026-06-03,0.0
ZB,Salòria (2.451 m),2026-06-03,0.0
ZC,Ulldeter (2.413 m),2026-06-03,0.0
ZE,el Port del Comte (2.288 m),2026-06-03,0.0
C6,Castellnou de Seana,2026-06-04,0.0
C7,Tàrrega,2026-06-04,0.0
C8,Cervera,2026-06-04,0.7
C9,Mas de Barberans,2026-06-04,0.0
CC,Orís,2026-06-04,67.1
CD,la Seu d'Urgell - Bellestar,2026-06-04,2.0
CE,els Hostalets de Pierola,2026-06-04,12.7
CG,Molló - Fabert,2026-06-04,37.1
CI,Sant Pau de Segúries,2026-06-04,75.4
CJ,Organyà,2026-06-04,8.7
CL,Sant Salvador de Guardiola,2026-06-04,4.1
CP,Sant Romà d'Abella,2026-06-04,2.8
CQ,Vilanova de Meià,2026-06-04,2.0
CR,la Quar,2026-06-04,58.3
CT,el Pont de Suert,2026-06-04,2.2
CW,l'Espluga de Francolí,2026-06-04,34.2
CY,Muntanyola,2026-06-04,25.8
D1,Margalef,2026-06-04,13.3
D2,Vacarisses,2026-06-04,17.8
D3,Vallirana,2026-06-04,13.8
D4,Roses,2026-06-04,15.9
D5,Barcelona - Observatori Fabra,2026-06-04,19.7
D6,Portbou - coll dels Belitres,2026-06-04,23.4
D7,Vinebre,2026-06-04,0.5
D8,Horta de Sant Joan,2026-06-04,0.0
D9,el Vendrell,2026-06-04,3.9
DB,el Perelló,2026-06-04,0.1
